left,right,exact,approximate,sample
2159,240,0.7151141212633425,0.7157200389340812,random
1017,272,0.10847451129578414,0.11113111891729019,random
2039,1612,0.11697657328580861,0.11853029365633057,random
1301,1410,0.4234099321119446,0.42606688811279425,random
825,1828,0.15786463820818558,0.1586622295316821,random
1240,703,0.18412065936573513,0.18619284846765174,random
214,1860,0.07180059230182001,0.07626311599697005,random
2013,1381,0.399084168225169,0.39875359560052487,random
1239,457,0.16598782615530203,0.1657417477090279,random
1351,242,0.29969123707321393,0.2998939082793456,random
2203,897,0.4253549708965639,0.42853160920534605,random
124,1742,0.03966281069807225,0.03879653910430708,random
440,842,0.05851732222269044,0.05863001201959245,random
2194,1323,0.3681484223756154,0.37091243205701574,random
1682,1517,0.1387171979363172,0.14369524339688763,random
437,429,0.03523557433779372,0.03424541692012118,random
239,966,0.24337878869886326,0.24634006361970087,random
1843,1108,0.192106252901862,0.19441807034114927,random
448,1396,0.12110383205192797,0.12334064138943623,random
83,243,0.1446992151497525,0.14578628168605703,random
1414,1120,0.06867492538190906,0.07011892437642636,random
1854,1639,0.1373936350976068,0.13746102450451975,random
1333,1999,0.3778139429334335,0.3775733697721191,random
1693,862,0.23584676460403903,0.23728796731242388,random
2029,2187,0.4434456884842325,0.4402484187125869,random
262,1126,0.4278979890193953,0.42832759916051977,random
596,1137,0.15129953118676817,0.15194445227218026,random
2059,573,0.7192937849707662,0.7222485216370985,random
1963,811,0.09129676832785896,0.09138495730710944,random
2169,1938,0.2140292347516654,0.21784486996703897,random
2024,1902,0.08044250732499132,0.08310800076772829,random
1589,1057,0.14645375101834376,0.14719122665404766,random
950,1071,0.09377173959294195,0.0943889017271649,random
1260,1387,0.21361670187936097,0.2165149277258741,random
77,1865,0.12108086436062893,0.12657244563760073,random
1112,645,0.12598087980523465,0.1279228738819562,random
1848,355,0.17252672361000954,0.17255502569982242,random
225,1924,0.17424497667589994,0.1762891236108305,random
1843,756,0.2549485404676355,0.25704315851497284,random
1414,1067,0.03969410964399529,0.04064570666455199,random
973,444,0.087410781602295,0.08792908128131796,random
11,2066,0.19299423936289728,0.19147074850020462,random
1135,783,0.16961081482719711,0.1695953048327391,random
298,646,0.15105850289616882,0.152655507817718,random
683,512,0.19376342041480765,0.19596311702374722,random
1304,687,0.1854091467520354,0.1872193645065029,random
237,1530,0.10390266672232565,0.10429312595915033,random
1270,567,0.18697701525944535,0.1889321868873986,random
1386,1686,0.6105207191004934,0.612158750552757,random
