merge,left,right,distance,height
823,507,551,0.019376075205703742,0.020507020134405862
824,1863,1870,0.01847387877311217,0.02051644114795726
825,714,1375,0.018722067886562374,0.020516650185135262
826,608,1215,0.02052231160010827,0.02052231160010827
827,74,186,0.019097099003984944,0.020531995760678677
828,2028,2037,0.020322408888707774,0.020534027449396988
829,1852,1916,0.017597278035884838,0.02053519350056537
830,1942,2067,0.018216311800129358,0.020535825575500967
831,2005,2172,0.019032814850410047,0.020539536889569665
832,1284,1734,0.017985469920962553,0.02054264443908231
833,1836,2061,0.020551904159433417,0.020551904159433417
834,916,931,0.020561812661003438,0.020561812661003438
835,2050,2197,0.020567381082504284,0.020567381082504284
836,59,480,0.016886962406044877,0.020567907767942612
837,918,1242,0.01795538671899087,0.020577169443462315
838,1943,2026,0.01926307807877381,0.020582950312424894
839,1576,1632,0.020584070529131457,0.020584070529131457
840,812,813,0.020587721025096973,0.020587721025096973
841,1991,2040,0.02058842663525281,0.02058842663525281
842,277,343,0.017667561108428653,0.020589909581609504
843,827,1727,0.019774780630627098,0.02059826462474797
844,1586,1976,0.02060598524689177,0.02060598524689177
845,389,2025,0.018449752602507467,0.020613438321972155
846,1371,1618,0.019042005393580683,0.02061682749064792
847,160,545,0.0202993652217239,0.02061831063645738
848,1067,1846,0.02023994349965829,0.020623048493528785
849,333,340,0.019889577781306515,0.02062452333778427
850,109,129,0.020627298947497572,0.020627298947497572
851,1357,1922,0.020629024783185672,0.020629024783185672
852,1628,1670,0.01933731068948341,0.020631049558812647
853,1080,1349,0.018827251549444597,0.020632593972864
854,538,830,0.020493019507357827,0.020634967744277373
855,1515,1665,0.02023062396648457,0.020637546423092283
856,278,348,0.01904683639751902,0.02063965138437478
857,534,1715,0.018266399474997405,0.020644853919062803
858,645,1564,0.01752926706172065,0.02064716656527992
859,437,490,0.020647299165527086,0.020647299165527086
860,1563,1698,0.019873566260817092,0.02065163228441694
861,735,744,0.018811500682404197,0.020652820981332976
862,1692,2210,0.020655590255617445,0.020655590255617445
863,1971,2128,0.020660867111063824,0.020660867111063824
864,1431,1502,0.018415973770121996,0.020668391461539055
865,765,1139,0.01776336492495769,0.020686998861397587
866,1053,1890,0.020307531025187876,0.020692161797527666
867,1065,1534,0.01669330150984638,0.02069437590941044
868,250,252,0.01899073305083236,0.020697216852111233
869,1980,1997,0.01796139846829787,0.02070034425705665
870,542,1294,0.02071930773775378,0.02071930773775378
871,1214,1446,0.020722231111836416,0.020722231111836416
872,807,902,0.020725017135926324,0.020725017135926324
873,418,714,0.018629144227095478,0.02072702489939382
874,44,114,0.019609505376394762,0.02074071869278446
875,1478,1491,0.01922570485621626,0.020744723708861882
876,567,587,0.020143518571321788,0.020763717378106256
877,1038,1129,0.018653818464600597,0.020765469039735474
878,1157,1197,0.020796993367519896,0.020796993367519896
879,2064,2079,0.02080145772254284,0.02080145772254284
880,1336,2063,0.019970970191791837,0.020803704411034598
881,810,1271,0.020810376334131048,0.020810376334131048
882,1320,1598,0.019661848068091167,0.020812440265481236
883,219,641,0.020816586666978013,0.020816586666978013
884,1240,1265,0.01942097825162488,0.02082617445392329
885,1328,1459,0.02053188433249765,0.020827197411334653
886,1220,1635,0.020830024088568433,0.020830024088568433
887,71,1620,0.01873289970498449,0.020831377836540717
888,1669,1812,0.019141806304162963,0.020832098673518065
889,89,782,0.01884390557294391,0.020834132844545713
890,558,572,0.02084012604592432,0.02084012604592432
891,663,1731,0.020744239272293213,0.020840455924032268
892,46,204,0.0208579220754257,0.0208579220754257
893,627,815,0.020871772131352502,0.020871772131352502
894,497,512,0.020884066736142518,0.020884066736142518
895,258,264,0.020884535494534374,0.020884535494534374
896,359,495,0.018389754866560526,0.02090066184125425
897,53,207,0.01898175656576418,0.0209046867307204
898,1659,1842,0.020905084849572705,0.020905084849572705
899,479,667,0.020119930891430077,0.020910338785353366
900,448,860,0.020910923504362314,0.020910923504362314
901,1538,1680,0.019670573852079896,0.02091584497015745
902,1259,1569,0.01931767929710608,0.02092606101148548
903,1308,2168,0.02078694811127345,0.02092621606208521
904,378,412,0.020718646491421154,0.02092854324728258
905,1746,1973,0.02092951477012209,0.02092951477012209
906,770,1704,0.020936001464724015,0.020936001464724015
907,2020,2204,0.020936660362663905,0.020936660362663905
908,10,679,0.02005636482043046,0.020938098684099703
909,410,413,0.020946638665947447,0.020946638665947447
910,1085,1106,0.018526040832055793,0.020952812962087994
911,522,1599,0.020943501989777437,0.020955291927299263
912,395,404,0.019765804930791706,0.020962460512551337
