merge,left,right,distance,height
619,2102,2104,1.2223715379829285,1.2596557764273488
620,294,338,1.238154760473971,1.2599323616317022
621,1069,1612,1.2603213336072594,1.2603213336072594
622,1780,1785,1.2603888019070904,1.2603888019070904
623,554,562,1.2322204944484478,1.2604152667444786
624,430,440,1.2421214297557646,1.260535946164108
625,1980,1996,1.2605743211122544,1.2605743211122544
626,1923,1925,1.2605878123530563,1.2605878123530563
627,419,425,1.2312747114133338,1.2606360651418211
628,2019,2020,1.2606620115966827,1.2606620115966827
629,1185,1186,1.2606889920570734,1.2606889920570734
630,1735,1744,1.2574472034195934,1.260694926298216
631,1933,1946,1.2609284183451803,1.2609284183451803
632,474,488,1.2370004317004955,1.261188685785531
633,2200,2201,1.216720248563863,1.2613588450730784
634,983,1007,1.2614239874802118,1.2614239874802118
635,1397,1613,1.261434099108851,1.261434099108851
636,298,299,1.203251688488465,1.261434730590234
637,1335,1707,1.2614408401495807,1.2614408401495807
638,192,194,1.2615992442377357,1.2615992442377357
639,1766,1768,1.2370863563475374,1.2616067463396001
640,387,475,1.261629574666618,1.261629574666618
641,2135,2182,1.2616295746666182,1.2616295746666182
642,553,558,1.2440402141497555,1.261690653916611
643,910,935,1.2616936031776187,1.2616936031776187
644,799,800,1.2618182809539817,1.2618182809539817
645,1896,1929,1.2619395772376114,1.2619395772376114
646,1801,1812,1.2411763402043223,1.2622736102374605
647,1936,1942,1.2233311553484854,1.262415733499136
648,1129,1139,1.2628859617483101,1.2628859617483101
649,1623,1629,1.2413339050978913,1.2629122216558852
650,1987,1998,1.2629364605558597,1.2629364605558597
651,1558,1570,1.26306101564877,1.26306101564877
652,1958,1961,1.2520153820967233,1.2631099078816401
653,1214,1219,1.2507480754729632,1.2632065840547593
654,1603,1604,1.152810083420238,1.2632723701381183
655,962,963,1.2470679898981343,1.2634196538464875
656,74,75,1.2634379724403109,1.2634379724403109
657,484,536,1.239496688505592,1.2634828645739153
658,1678,1726,1.2317373383754757,1.2636228348892593
659,689,690,1.2101470085543025,1.2636733083389264
660,1131,1135,1.2543800810580115,1.2639584950129343
661,1097,1108,1.2644235867788627,1.2644235867788627
662,931,947,1.264443761980297,1.264443761980297
663,1795,1846,1.2037038926681642,1.2644946646304933
664,941,944,1.2073612087670267,1.2647608827027208
665,1023,1027,1.2302763640632908,1.2648712018887875
666,1054,1059,1.2263476552057226,1.2649538341010267
667,2212,2213,1.2412962283559126,1.265014728252067
668,2188,2192,1.2650219809334937,1.2650219809334937
669,1729,1730,1.228993559815522,1.2650901119312836
670,1489,1495,1.2119550462016349,1.2651181845416257
671,1733,1734,1.2651396094077991,1.2651396094077991
672,1922,1963,1.2651967392922137,1.2651967392922137
673,1821,2022,1.2653849136100206,1.2653849136100206
674,2195,2196,1.2654420324198838,1.2654420324198838
675,1237,1263,1.259791581942019,1.2657605404200076
676,1508,1510,1.2660231537576008,1.2660231537576008
677,1115,1116,1.2661003925762107,1.2661003925762107
678,125,126,1.2662212786597036,1.2662212786597036
679,1902,1907,1.2292564535406882,1.2662271772279592
680,1654,1720,1.2531355231800687,1.2662988569269347
681,452,458,1.2663052205391192,1.2663052205391192
682,2114,2118,1.2613397207558577,1.266469413247048
683,461,490,1.2664798018268502,1.2664798018268502
684,960,968,1.2497822939668044,1.2665136514629007
685,592,596,1.239709341620318,1.2666728249228867
686,1260,1513,1.1952570668196505,1.2671245892938412
687,1450,1454,1.2457785861517638,1.267153625948846
688,235,237,1.2673825402779393,1.2673825402779393
689,314,317,1.2101610619741363,1.2674642750211957
690,2170,2171,1.2676072859101588,1.2676072859101588
691,1979,1981,1.2678688798920184,1.2678688798920184
692,990,992,1.1875523618960553,1.2682170045760908
693,1684,1689,1.2107441350443204,1.2682920928968011
694,426,432,1.2684388336967352,1.2684388336967352
695,1407,1412,1.268569551693164,1.268569551693164
696,1121,1123,1.2064417518804107,1.2686784316891813
697,470,471,1.2687069586546682,1.2687069586546682
698,1131,1134,1.1964410091748678,1.268819094596042
699,259,260,1.2689013138214054,1.2689013138214054
700,1300,1303,1.2185185328775219,1.2690981487393094
701,796,804,1.2693234311195538,1.2693234311195538
702,776,787,1.2208993562514647,1.2693643591320583
703,1989,2005,1.1408576258451277,1.2694196820083687
