# Iteration, weighted MSE to target, weighted RMSE to target, Total lambdas, Fractional change in lambda, Curr. stepsize, Beta_C, Beta_H 
    40 0.051370 0.226650 3.63025696e-01 2.49173595e-02 1.68266479e-04 3.50000000e-01 2.00000000e+00 
    41 0.051272 0.226434 3.72069772e-01 2.43074734e-02 1.68386624e-04 3.50000000e-01 2.00000000e+00 
    42 0.051175 0.226219 3.81112279e-01 2.37266241e-02 1.68508576e-04 3.50000000e-01 2.00000000e+00 
    43 0.051079 0.226007 3.90153216e-01 2.31727857e-02 1.68632382e-04 3.50000000e-01 2.00000000e+00 
    44 0.050984 0.225796 3.99192580e-01 2.26441164e-02 1.68758081e-04 3.50000000e-01 2.00000000e+00 
    45 0.050889 0.225587 4.08230366e-01 2.21389381e-02 1.68885699e-04 3.50000000e-01 2.00000000e+00 
    46 0.050796 0.225379 4.17266574e-01 2.16557188e-02 1.69015254e-04 3.50000000e-01 2.00000000e+00 
    47 0.050703 0.225174 4.26301199e-01 2.11930566e-02 1.69146756e-04 3.50000000e-01 2.00000000e+00 
    48 0.050611 0.224970 4.35334240e-01 2.07496667e-02 1.69280205e-04 3.50000000e-01 2.00000000e+00 
    49 0.050520 0.224768 4.44365692e-01 2.03243691e-02 1.69415593e-04 3.50000000e-01 2.00000000e+00 
    50 0.050430 0.224567 4.53395553e-01 1.99160781e-02 1.69552904e-04 3.50000000e-01 2.00000000e+00 
    51 0.050341 0.224369 4.62423820e-01 1.95237933e-02 1.69692115e-04 3.50000000e-01 2.00000000e+00 
    52 0.050253 0.224172 4.71450490e-01 1.91465912e-02 1.69833197e-04 3.50000000e-01 2.00000000e+00 
    53 0.050165 0.223976 4.80475560e-01 1.87836181e-02 1.69976112e-04 3.50000000e-01 2.00000000e+00 
    54 0.050079 0.223783 4.89499026e-01 1.84340834e-02 1.70120819e-04 3.50000000e-01 2.00000000e+00 
    55 0.049993 0.223591 4.98520885e-01 1.80972540e-02 1.70267268e-04 3.50000000e-01 2.00000000e+00 
    56 0.049908 0.223401 5.07541134e-01 1.77724494e-02 1.70415407e-04 3.50000000e-01 2.00000000e+00 
    57 0.049824 0.223213 5.16559770e-01 1.74590365e-02 1.70565178e-04 3.50000000e-01 2.00000000e+00 
    58 0.049741 0.223026 5.25576789e-01 1.71564263e-02 1.70716518e-04 3.50000000e-01 2.00000000e+00 
    59 0.049658 0.222841 5.34592189e-01 1.68640694e-02 1.70869363e-04 3.50000000e-01 2.00000000e+00 
    60 0.049577 0.222658 5.43605966e-01 1.65814531e-02 1.71023642e-04 3.50000000e-01 2.00000000e+00 
    61 0.049496 0.222477 5.52618116e-01 1.63080985e-02 1.71179284e-04 3.50000000e-01 2.00000000e+00 
    62 0.049416 0.222297 5.61628638e-01 1.60435573e-02 1.71336215e-04 3.50000000e-01 2.00000000e+00 
    63 0.049337 0.222118 5.70637526e-01 1.57874100e-02 1.71494358e-04 3.50000000e-01 2.00000000e+00 
    64 0.049258 0.221942 5.79644779e-01 1.55392631e-02 1.71653635e-04 3.50000000e-01 2.00000000e+00 
