bc,bh,legacy_combined_mse,fast_combined_mse,slow-N_combined_mse
0.15000000000000002,3.0,0.0689829863645381,0.0630224648874023,0.06801569662458469
0.15000000000000002,3.1,0.07121550483106126,0.06457736149313331,0.07014801511181155
0.15000000000000002,3.2,0.07350803618547372,0.06616761002500704,0.07234371001732126
0.15000000000000002,3.3000000000000003,0.07585215185946535,0.06778553480389621,0.07459629105449923
0.15000000000000002,3.4000000000000004,0.07823969825104166,0.06942358157375773,0.07689911131431613
0.15000000000000002,3.5,0.0806628032695675,0.07107438318057491,0.07924534250693259
0.15000000000000002,3.6,0.08311387642663204,0.07273082500841557,0.08162797903522452
0.15000000000000002,3.7,0.08558560317649949,0.07438610669983124,0.08403986275209244
0.15000000000000002,3.8000000000000003,0.08807093292170243,0.07603379610543161,0.08647371972115793
0.15000000000000002,3.9000000000000004,0.090563059946773,0.07766787153177955,0.08892220150363206
0.15000000000000002,4.0,0.0930553974705814,0.07928274946147176,0.09137792556178506
0.17500000000000002,0.0,0.05010080977353438,0.05115981604154295,0.049811751364096324
0.17500000000000002,0.1,0.048968663632653835,0.04997993569315108,0.048694612018541035
0.17500000000000002,0.2,0.04798987573723899,0.04895427739047631,0.04772818762065926
0.17500000000000002,0.30000000000000004,0.04717172633534622,0.04808829877654617,0.046920178538431154
0.17500000000000002,0.4,0.04651891390214205,0.047384684368816994,0.04627561775220826
0.17500000000000002,0.5,0.04603379829031896,0.046843641958408434,0.04579720808764665
0.17500000000000002,0.6000000000000001,0.04571708474449219,0.04646357856965201,0.04548606227190821
0.17500000000000002,0.7000000000000001,0.045568581882188215,0.04624182143003621,0.0453424316598843
0.17500000000000002,0.8,0.045587742228541936,0.046175145387616245,0.04536613826910596
0.17500000000000002,0.9,0.04577387279131947,0.046260028869555526,0.0455566458095682
0.17500000000000002,1.0,0.04612606047822845,0.04649268580181303,0.045912871248945594
0.17500000000000002,1.1,0.04664293290788139,0.0468689716388925,0.04643290252714128
0.17500000000000002,1.2000000000000002,0.04732238882778201,0.04738425661310889,0.047113772352144444
