stage,ensemble,family,arm,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
rate,ISO_BI,maxent,6,1,0.05207723534160902,0.947922764658391,0.0,62.85324491429356,0.347922764658391,0.9991711201746324,43.97876490627557,829.3507959201796,
rate,ISO_BI,scalar_logpf,7,0,0.09747167671076232,0.9025283232892377,0.0,69.45031325216424,0.30252832328923773,0.050654444464149295,10.95761159033453,37.50159816116097,
rate,ISO_BI,scalar_logpf,7,1,0.10005741251106956,0.8999425874889305,0.0,69.79080568177551,0.2999425874889305,0.06419302734688116,11.70469535863999,47.72948308887881,
rate,ISO_BI,scalar_logpf,8,0,0.09311119171928073,0.9068888082807194,0.0,68.86919541193622,0.30688880828071935,0.16581151085972656,17.50154735349021,128.40653809361064,
rate,ISO_BI,scalar_logpf,8,1,0.09311175764318631,0.9068882423568136,0.0,68.86927141381719,0.30688824235681367,0.16581266652086424,17.501566787380693,128.40745170403662,
rate,ISO_BI,scalar_logpf,9,0,0.09166216604580762,0.9083378339541923,0.0,68.67408723793737,0.30833783395419234,0.2758489373322872,18.346129428161394,223.60881424863,
rate,ISO_BI,scalar_logpf,9,1,0.0914570022965197,0.9085429977034805,0.0,68.64637961709556,0.30854299770348037,0.27387533123583363,18.406265334002818,221.70137496887997,
rate,ISO_BI,scalar_logpf,10,0,0.08019519155935574,0.9198048084406445,0.0,67.0919539399335,0.3198048084406444,0.4107080983960586,21.657027392121666,339.9291035353611,
rate,ISO_BI,scalar_logpf,10,1,0.08019693137509415,0.9198030686249058,0.0,67.09219945571002,0.3198030686249058,0.41070778659563617,21.654741525525747,339.93357017586965,
rate,ISO_BI,scalar_logpf,11,0,0.07127953410792215,0.9287204658920778,0.0,65.80961019563864,0.3287204658920778,0.6160918934541518,36.97164417442287,501.55072837601284,
rate,ISO_BI,scalar_logpf,11,1,0.07142492922019571,0.9285750707798042,0.0,65.83092962125954,0.32857507077980425,0.6141801678346896,36.984582807542594,499.8625640095471,
rate,ISO_BI,scalar_logpf,12,0,0.0656178230856683,0.9343821769143318,0.0,64.96802537263244,0.33438217691433175,0.7633828804375193,41.66647065046261,625.6453135200634,
rate,ISO_BI,scalar_logpf,12,1,0.06556020148407452,0.9344397985159254,0.0,64.95934185467704,0.3344397985159255,0.7644580811104246,41.666865973504386,626.5871335860686,
rate,ISO_BI,profile_logpf,13,0,0.09855303374637023,0.9014469662536297,0.0,69.59307055957822,0.30144696625362977,0.2673942704443471,21.613837778580642,212.19273882069905,
rate,ISO_BI,profile_logpf,13,1,0.09855303526314356,0.9014469647368564,0.0,69.59307075944938,0.3014469647368564,0.2673942684908909,21.613829697049795,212.19274645099242,
rate,ISO_BI,profile_logpf,14,0,0.09322198496616721,0.9067780150338327,0.0,68.88407167754697,0.3067780150338328,0.3481694585804412,25.58380707191682,279.0540916962138,
rate,ISO_BI,profile_logpf,14,1,0.09322198606580953,0.9067780139341904,0.0,68.88407182516725,0.30677801393419046,0.3481694313665237,25.583796383086256,279.05408089258793,
rate,ISO_BI,profile_logpf,15,0,0.0866520219530852,0.9133479780469149,0.0,67.99140998805694,0.3133479780469149,0.45081243864311804,30.50671364404591,363.9830116129167,
rate,ISO_BI,profile_logpf,15,1,0.08665204286313374,0.9133479571368663,0.0,67.99141286417743,0.3133479571368663,0.4508123975482495,30.506704355236742,363.9829889709803,
rate,ISO_BI,profile_logpf,16,0,0.08014350180967016,0.9198564981903296,0.0,67.08465888945548,0.3198564981903297,0.5651661517049726,36.30429769049582,457.97623064792634,
rate,ISO_BI,profile_logpf,16,1,0.08002792352032571,0.9199720764796743,0.0,67.06834153926194,0.3199720764796743,0.5672012757118687,36.30443094418421,459.7719057028033,
rate,ISO_BI,profile_logpf,17,0,0.0722224198303243,0.9277775801696756,0.0,65.94761557099724,0.3277775801696757,0.6857572654782209,39.498612299982895,560.2477451604249,
rate,ISO_BI,profile_logpf,17,1,0.07222080816301218,0.927779191836988,0.0,65.94738018329569,0.3277791918369879,0.6857606157130285,39.49861237786534,560.2505146861097,
