index,Primary_cluster,Secondary_cluster,n_Ca,n_CDZ_ligands,n_Ca_final,n_CDZ_ligands_final,dir_prefix
192,0,1,3,1,3,1,liganded_ions/cluster_0_1_ca3_cdz1/complex_rank3_plddt0.6015158_ca3_cdz1_minimised
193,0,1,3,1,3,1,liganded_ions/cluster_0_1_ca3_cdz1/complex_rank4_plddt0.6006700_ca3_cdz1_minimised
194,0,1,3,1,3,1,liganded_ions/cluster_0_1_ca3_cdz1/complex_rank5_plddt0.6002550_ca3_cdz1_minimised
195,0,1,3,2,3,2,liganded_ions/cluster_0_1_ca3_cdz2/complex_rank1_plddt0.5462253_ca2_cdz2_minimised
196,0,1,3,2,3,2,liganded_ions/cluster_0_1_ca3_cdz2/complex_rank2_plddt0.5450066_ca3_cdz2_minimised
197,0,1,3,2,3,2,liganded_ions/cluster_0_1_ca3_cdz2/complex_rank3_plddt0.5443640_ca3_cdz2_minimised
198,0,1,3,2,3,2,liganded_ions/cluster_0_1_ca3_cdz2/complex_rank4_plddt0.5440130_ca3_cdz2_minimised
199,0,1,3,2,3,2,liganded_ions/cluster_0_1_ca3_cdz2/complex_rank5_plddt0.5435145_ca3_cdz2_minimised
200,0,1,4,0,4,0,liganded_ions/cluster_0_1_ca4_cdz0/complex_rank1_plddt0.4605910_ca4_cdz0_minimised
201,0,1,4,0,4,0,liganded_ions/cluster_0_1_ca4_cdz0/complex_rank2_plddt0.4548019_ca3_cdz0_minimised
202,0,1,4,0,4,0,liganded_ions/cluster_0_1_ca4_cdz0/complex_rank3_plddt0.4545714_ca3_cdz0_minimised
203,0,1,4,0,4,0,liganded_ions/cluster_0_1_ca4_cdz0/complex_rank4_plddt0.4517801_ca4_cdz0_minimised
204,0,1,4,0,4,0,liganded_ions/cluster_0_1_ca4_cdz0/complex_rank5_plddt0.4471820_ca4_cdz0_minimised
205,0,1,4,1,4,1,liganded_ions/cluster_0_1_ca4_cdz1/complex_rank1_plddt0.5970044_ca4_cdz1_minimised
206,0,1,4,1,4,1,liganded_ions/cluster_0_1_ca4_cdz1/complex_rank2_plddt0.5928936_ca3_cdz1_minimised
207,0,1,4,1,4,1,liganded_ions/cluster_0_1_ca4_cdz1/complex_rank3_plddt0.5927764_ca2_cdz1_minimised
208,0,1,4,1,4,1,liganded_ions/cluster_0_1_ca4_cdz1/complex_rank4_plddt0.5919614_ca4_cdz1_minimised
209,0,1,4,1,4,1,liganded_ions/cluster_0_1_ca4_cdz1/complex_rank5_plddt0.5874521_ca4_cdz1_minimised
210,0,1,4,2,4,2,liganded_ions/cluster_0_1_ca4_cdz2/complex_rank1_plddt0.5486759_ca3_cdz2_minimised
211,0,1,4,2,4,2,liganded_ions/cluster_0_1_ca4_cdz2/complex_rank2_plddt0.5470986_ca3_cdz2_minimised
212,0,1,4,2,4,2,liganded_ions/cluster_0_1_ca4_cdz2/complex_rank3_plddt0.5458265_ca3_cdz2_minimised
213,0,1,4,2,4,2,liganded_ions/cluster_0_1_ca4_cdz2/complex_rank4_plddt0.5444139_ca3_cdz2_minimised
214,0,1,4,2,4,2,liganded_ions/cluster_0_1_ca4_cdz2/complex_rank5_plddt0.5421818_ca4_cdz2_minimised
215,0,2,0,1,0,1,liganded_ions/cluster_0_2_ca0_cdz1/complex_rank1_plddt0.6205714_ca0_cdz1_minimised
216,0,2,0,1,0,1,liganded_ions/cluster_0_2_ca0_cdz1/complex_rank2_plddt0.6153652_ca0_cdz1_minimised
217,0,2,0,1,0,1,liganded_ions/cluster_0_2_ca0_cdz1/complex_rank3_plddt0.6142961_ca0_cdz1_minimised
218,0,2,0,1,0,1,liganded_ions/cluster_0_2_ca0_cdz1/complex_rank4_plddt0.6141167_ca0_cdz1_minimised
