arm,stage,family,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
9,rate,scalar_logpf,1,0.05029903986517567,0.23604538809124062,0.7136555720435839,27.379517926427276,0.7136555720435838,0.0038131328901376553,8.920393220794308,194.68666365931463,4.342040976990904
10,rate,scalar_logpf,0,0.03350912730680723,0.4327240245142736,0.5337668481789192,36.097018890263534,0.5337668481789192,0.39895230428568207,24.314532747432153,440.0750511249467,435.05911845179656
10,rate,scalar_logpf,1,0.033509789141563905,0.43272286002421634,0.5337673508342196,36.097057349922544,0.5337673508342197,0.39895208072287375,24.31510489633122,440.07444782899944,435.0588745574016
11,rate,scalar_logpf,0,0.027469178973581556,0.4407572449447199,0.5317735760816985,35.58791104252587,0.5317735760816986,0.57456919075584,35.47818406661398,580.749908235172,663.1267453757599
11,rate,scalar_logpf,1,0.02746695431660889,0.44053291662170796,0.532000129061683,35.57677553066819,0.5320001290616831,0.5749193525014359,35.4779071354408,580.7299898518385,663.9163697910988
12,rate,scalar_logpf,0,0.023766500265344267,0.4467590975910861,0.5294744021435696,35.293199738009264,0.5294744021435696,0.6993512650856989,35.86206279990529,694.4438914537764,825.7907369132207
12,rate,scalar_logpf,1,0.023734100233810007,0.4458343182680703,0.5304315814981198,35.24409494264508,0.5304315814981198,0.700156893815325,35.8621176588872,693.4658803257194,828.5632514440267
13,rate,profile_logpf,0,0.04633780119223535,0.4811099657308174,0.47255223307694727,40.26475962337535,0.47255223307694727,0.2575455725788158,24.42373254004907,277.82729850460527,270.9900772049857
13,rate,profile_logpf,1,0.045247539828557906,0.48165486805966096,0.47309759211178115,40.141704224493694,0.47309759211178115,0.25715613640958146,23.559872285952093,277.8503947003492,271.01123969225506
14,rate,profile_logpf,0,0.040417633260867225,0.48466209221733436,0.4749202745217985,39.610389142091876,0.47492027452179847,0.3383082136817811,27.50929482826484,367.36014687110196,358.19402956651
14,rate,profile_logpf,1,0.04041725975375022,0.4846616399200425,0.47492110032620727,39.61031410040358,0.47492110032620727,0.33830822474575983,27.50938013501096,367.36002569963625,358.1940119685018
15,rate,profile_logpf,0,0.03542215997794718,0.4786360727421914,0.4859417672798614,38.59756088904894,0.4859417672798614,0.42988547472426714,30.58356798052139,460.7439274837085,465.5430586256765
15,rate,profile_logpf,1,0.03542212841071631,0.47863619005350505,0.48594168153577866,38.59756183565294,0.48594168153577866,0.42988542973940225,30.583542535140925,460.743943411144,465.5429660652105
16,rate,profile_logpf,0,0.03190742720052818,0.48272562935189334,0.4853669434475786,38.26532119251462,0.4853669434475785,0.5315363630893691,34.65775817807259,574.8762765959905,573.4358151236738
16,rate,profile_logpf,1,0.031858427343348455,0.4824864299101441,0.4856551427465074,38.24657292958074,0.48565514274650745,0.5319477296418583,34.65542006237006,574.8702719912383,574.3523175986292
17,rate,profile_logpf,0,0.026647138995627925,0.47100021980153206,0.5023526412028401,36.89679662443145,0.5023526412028401,0.632965125451392,34.82073500963662,662.9383930139884,710.8146404444971
17,rate,profile_logpf,1,0.026675604445709114,0.4712366833734916,0.5020877121807994,36.91241061808764,0.5020877121807994,0.6325508992777489,34.821483652680996,662.9443316644622,709.8876641846477
18,rate,profile_logpf,0,0.02387588135496789,0.45706443995902135,0.5190596786860107,35.79804233060535,0.5190596786860107,0.7132059300570264,35.86457093804807,720.8243143860565,830.3904966363714
18,rate,profile_logpf,1,0.02390371356807412,0.45778095750711656,0.5183153289248092,35.83628143518788,0.5183153289248092,0.7127878304333334,35.86409183733278,721.8022628348064,828.4782182928623
25,uptake,hierarchical_rmsd,0,0.30716545317427263,0.456350718721773,0.23648382810395446,63.98367401514027,0.2364838281039544,0.003936323998808904,2.524607487110203,9.321571617307757,1.0268280686423024
25,uptake,hierarchical_rmsd,1,0.31785459018123513,0.44592996951380487,0.2362154403049601,63.98320812990546,0.23621544030496006,0.004012060502243877,2.833910294130398,8.923208297720985,1.031650714136904
26,uptake,hierarchical_rmsd,0,0.33810375824852673,0.43076175203136263,0.23113448972011066,64.29159399661508,0.23113448972011064,0.004117751084257626,3.807392100614356,6.004066040775894,1.1079676226493524
26,uptake,hierarchical_rmsd,1,0.3406677614824304,0.430969677467821,0.22836256104974859,64.51225868201918,0.2283625610497486,0.00410793730035967,3.7992464979739373,5.942553219335133,1.0954505980852702
27,uptake,hierarchical_rmsd,0,0.34168594759956294,0.4344234516787051,0.22389060072173184,64.90001113918015,0.2238906007217319,0.004006010437086874,3.6742290987457538,5.81365778416987,1.0453217163173645
27,uptake,hierarchical_rmsd,1,0.3416976767112581,0.4344529701080886,0.2238493531806532,64.90357689084894,0.22384935318065324,0.004006243034451724,3.6736328566138887,5.814812786936562,1.0451941219801224
28,uptake,hierarchical_rmsd,0,0.3281174234424617,0.46410909222150776,0.20777348433603052,66.42521292769383,0.20777348433603055,0.004086997227651262,2.3371705894469117,9.314534713984353,1.058647388750185
28,uptake,hierarchical_rmsd,1,0.3281111260238369,0.4683229210284725,0.20356595294769075,66.80123619041906,0.20356595294769067,0.0041542351603661995,2.3211601282709933,9.766916321415142,1.0530565277753619
