arm,family,strength,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
16,profile_logpf,0.1,0,0.050084575525031635,0.4916830200489779,0.45823240442599045,41.29105771633756,0.45823240442599045,0.5248599514460702,43.87104192584823,583.0023661071348,546.1671489197328
16,profile_logpf,0.1,1,0.050084550459451274,0.49168304629520215,0.45823240324534653,41.291055621309184,0.45823240324534653,0.5248600324203411,43.871041466260415,583.0024237288621,546.1672579966836
17,profile_logpf,0.1,0,0.04044095777871157,0.4894193952675674,0.47013964695372096,39.84227852676304,0.470139646953721,0.6291366017188422,43.9031928475488,691.9302166124481,667.883711579675
17,profile_logpf,0.1,1,0.040441146820782474,0.4894230285227885,0.470135824656429,39.842479895218176,0.470135824656429,0.6291361577374387,43.90319256589559,691.9303809873305,667.8827443646601
18,profile_logpf,0.1,0,0.03372442577689016,0.46516939848393635,0.5011061757391734,37.70265212090694,0.5011061757391735,0.7291400291096701,43.92737504054106,749.5179447400627,832.0105263207324
18,profile_logpf,0.1,1,0.03371369301311711,0.46493824276987206,0.5013480642170108,37.68997677797699,0.5013480642170108,0.7295302411307882,43.92730647987552,749.5162230624176,832.8886710234522
19,hybrid_logpf,0.1,0,0.3560684756171571,0.3689494279411576,0.27498209644168553,60.190913938688475,0.2749820964416854,0.0034008101033767527,5.91236069761346,3.583418520591623,1.0397394042208383
19,hybrid_logpf,0.1,1,0.35870466553818475,0.36586479676471406,0.2754305376971011,60.09983201531692,0.27543053769710113,0.0034456740913606982,5.955967823824302,3.7142020329564525,1.0421623134624194
20,hybrid_logpf,0.1,0,0.35284856377438084,0.39750721050989124,0.24964422571572797,62.47437543922276,0.24964422571572795,0.003142842549588493,1.8401044176800054,9.550532183772752,1.05992829487979
20,hybrid_logpf,0.1,1,0.35063412843423863,0.3774154011510502,0.27195047041471093,60.555037814710346,0.27195047041471104,0.0034885646640089073,3.2666065637871227,7.013919784339119,1.0433149085935167
21,hybrid_logpf,0.1,0,0.2067055634986607,0.3326710301728974,0.46062340632844195,46.99598350122718,0.4606234063284419,0.003057440848337104,43.76041533467956,1.275568912601205,3.580361141491755
21,hybrid_logpf,0.1,1,0.20683920499128827,0.33321964241511215,0.4599411525935998,47.04426014744231,0.4599411525935997,0.0030510428658421396,43.779708303282455,1.2811393576343484,3.5458579695755392
22,hybrid_logpf,0.1,0,0.11401483101927411,0.5031581697407,0.3828269992400261,49.47521106008035,0.38282699924002594,0.0024442205986015693,43.98718790796323,3.173056364110833,1.4119729264008885
22,hybrid_logpf,0.1,1,0.11421008988926784,0.5036403018438351,0.3821496082668968,49.523224668749634,0.3821496082668969,0.0024544775294392494,43.987451762509714,3.1896974715816935,1.4138639964299127
23,hybrid_logpf,0.1,0,0.09174871642148373,0.45561014536970357,0.4526411382088128,44.444505082604344,0.45264113820881274,0.4097791114241273,43.995822233988186,567.2101572306046,379.7794726180765
23,hybrid_logpf,0.1,1,0.09167419514416507,0.45605465410371016,0.45227115075212465,44.46062284025313,0.4522711507521247,0.40745341886703934,43.99566211044189,567.1531643226514,375.11280294787815
